# XDK Monitor Logger 1.0
# Start: 2016-05-05 19:05:13
# Timestamp, 	humidity of BME280 (%rh), 	light of BME280 (lux), 	pressure of BME280 (pa), 	temperature of BME280 (mDeg)
858426, 	32.0, 	1536.0, 	100068.0, 	14750.0
861355, 	32.0, 	1536.0, 	100071.0, 	14750.0
864285, 	32.0, 	1536.0, 	100074.0, 	14740.0
867215, 	33.0, 	1536.0, 	100070.0, 	14730.0
870144, 	33.0, 	1536.0, 	100063.0, 	14730.0
873074, 	33.0, 	1536.0, 	100058.0, 	14710.0
876004, 	33.0, 	1536.0, 	100062.0, 	14700.0
878933, 	33.0, 	1536.0, 	100063.0, 	14700.0
881863, 	33.0, 	1536.0, 	100055.0, 	14700.0
884793, 	33.0, 	1536.0, 	100059.0, 	14700.0
887722, 	33.0, 	1536.0, 	100056.0, 	14690.0
890652, 	33.0, 	1536.0, 	100062.0, 	14690.0
893582, 	33.0, 	1536.0, 	100063.0, 	14690.0
896512, 	33.0, 	1536.0, 	100058.0, 	14670.0
899441, 	33.0, 	1536.0, 	100060.0, 	14670.0
902371, 	33.0, 	1536.0, 	100054.0, 	14670.0
905301, 	33.0, 	1536.0, 	100056.0, 	14660.0
908230, 	33.0, 	1536.0, 	100056.0, 	14650.0
911160, 	33.0, 	1536.0, 	100056.0, 	14650.0
914090, 	33.0, 	1536.0, 	100055.0, 	14650.0
917019, 	33.0, 	1536.0, 	100051.0, 	14630.0
919949, 	33.0, 	1536.0, 	100052.0, 	14640.0
922879, 	33.0, 	1536.0, 	100058.0, 	14640.0
925808, 	33.0, 	1536.0, 	100051.0, 	14630.0
928738, 	33.0, 	1536.0, 	100055.0, 	14620.0
931668, 	33.0, 	1536.0, 	100057.0, 	14610.0
934597, 	33.0, 	1536.0, 	100055.0, 	14610.0
937527, 	33.0, 	1536.0, 	100056.0, 	14600.0
940457, 	33.0, 	1536.0, 	100057.0, 	14600.0
943387, 	33.0, 	1536.0, 	100056.0, 	14600.0
946316, 	33.0, 	1536.0, 	100060.0, 	14590.0
949246, 	33.0, 	1536.0, 	100063.0, 	14600.0
952176, 	33.0, 	1536.0, 	100059.0, 	14580.0
955105, 	33.0, 	1536.0, 	100060.0, 	14580.0
958035, 	33.0, 	1536.0, 	100061.0, 	14570.0
960965, 	33.0, 	1536.0, 	100058.0, 	14570.0
963894, 	33.0, 	1536.0, 	100060.0, 	14560.0
966824, 	33.0, 	1536.0, 	100065.0, 	14570.0
969754, 	33.0, 	1536.0, 	100064.0, 	14570.0
972683, 	33.0, 	1536.0, 	100064.0, 	14560.0
975613, 	33.0, 	1536.0, 	100061.0, 	14550.0
978543, 	33.0, 	1536.0, 	100059.0, 	14550.0
981472, 	33.0, 	1536.0, 	100063.0, 	14550.0
984402, 	33.0, 	1536.0, 	100056.0, 	14530.0
987332, 	33.0, 	1536.0, 	100059.0, 	14530.0
990262, 	33.0, 	1536.0, 	100057.0, 	14530.0
993191, 	33.0, 	1536.0, 	100055.0, 	14520.0
996121, 	33.0, 	1536.0, 	100054.0, 	14520.0
999051, 	33.0, 	1536.0, 	100052.0, 	14510.0
1001980, 	33.0, 	1536.0, 	100059.0, 	14520.0
1004910, 	33.0, 	1536.0, 	100063.0, 	14500.0
1007840, 	33.0, 	1536.0, 	100063.0, 	14510.0
1010769, 	33.0, 	1536.0, 	100062.0, 	14500.0
1013699, 	33.0, 	1536.0, 	100062.0, 	14500.0
1016629, 	33.0, 	1536.0, 	100061.0, 	14490.0
1019558, 	33.0, 	1536.0, 	100061.0, 	14490.0
1022488, 	33.0, 	1536.0, 	100063.0, 	14480.0
1025418, 	33.0, 	1536.0, 	100062.0, 	14470.0
1028347, 	33.0, 	1536.0, 	100066.0, 	14480.0
1031277, 	33.0, 	1536.0, 	100066.0, 	14470.0
1034207, 	33.0, 	1536.0, 	100064.0, 	14470.0
1037137, 	33.0, 	1536.0, 	100062.0, 	14460.0
1040066, 	33.0, 	1536.0, 	100065.0, 	14460.0
1042996, 	33.0, 	1536.0, 	100065.0, 	14450.0
1045926, 	33.0, 	1536.0, 	100067.0, 	14450.0
1048855, 	33.0, 	1536.0, 	100071.0, 	14450.0
1051785, 	33.0, 	1536.0, 	100070.0, 	14450.0
1054715, 	33.0, 	1536.0, 	100063.0, 	14430.0
1057644, 	33.0, 	1536.0, 	100063.0, 	14430.0
1060574, 	33.0, 	1536.0, 	100057.0, 	14430.0
1063504, 	33.0, 	1536.0, 	100054.0, 	14430.0
1066433, 	33.0, 	1536.0, 	100052.0, 	14410.0
1069363, 	33.0, 	1536.0, 	100052.0, 	14420.0
1072293, 	33.0, 	1536.0, 	100052.0, 	14420.0
1075222, 	33.0, 	1536.0, 	100056.0, 	14420.0
1078152, 	33.0, 	1536.0, 	100057.0, 	14410.0
